가게,店
듣다,聞く
들,～たち、～ども
들다,持つ、入る
들어가다,入って行く、入る
들어오다,入って来る、入る
등,背、など
등산,登山
등산복,登山服
등산화,登山靴
디브이디,DVD
디자인,デザイン
따뜻하다,暖かい
따라가다,ついて行く、従う
따라오다,ついて来る
따로,別に、別途
따르다,従う
딸,娘
딸기,いちご
땀,汗
때,時
때문,～のため、～だから
떠나다,発つ、去る
떠들다,騒ぐ
떡,餅
떡국,トック、餅入りスープ
떡볶이,トッポギ
떨어지다,落ちる
또,また、再び
또는,または
똑같다,全く同じだ、そっくりだ
똑바로,まっすぐに、しっかり
뛰다,駆ける、走る
뜨겁다,熱い
뜨다,(目を)開く
뜻,意味、こころざし
라디오,ラジオ
라면,ラーメン
러시아,ロシア
로션,ローション、化粧水
마늘,にんにく
마르다,乾く
마리,～匹、～頭
마시다,飲む
마음,心、気持ち
마지막,最後
마치다,終わる、終える
마흔,40
막히다,詰まる、つかえる
만,万
만나다,会う
만두,ぎょうざ
만들다,作る
만일,万一
만지다,触る、触れる
만화,漫画
많다,多い
많이,多く、たくさん
말,言葉、話
말씀,お言葉
말씀하다,お話する、おっしゃる
말하기,しゃべること、話、会話
말하다,話す、しゃべる
맑다,清い、澄んでいる
맛,味
맛없다,おいしくない、不味い
맛있다,おいしい
맞다,合う、合っている、正しい
맞습니다,そうです
맞아요,その通りです
맞은편,向こう側、向かい
매다,結ぶ、締める
매우,とても、非常に
매일,毎日
매주,毎週
맥주,ビール
맵다,辛い
머리,頭、髪
먹다,食べる
먼저,まず、先に
멀다,遠い
멋있다,素敵だ、格好いい
메뉴,メニュー
메다,担ぐ、背負う
메모,メモ
메시지,メッセージ
멕시코,メキシコ
며칠,何日
면도,かみそり、ひげそり
명,～名
명절,年中行事
몇,いくつの～
모두,すべて、みな
모레,あさって
모르겠습니다,知りません、わかりません
모르다,知らない
모시다,お連れする、お仕えする
모양,形、形状、格好、スタイル
모으다,集める
모이다,集まる
모임,集まり、集会
모자,帽子
목,首、喉
목걸이,ネックレス、首飾り
목소리,声
목요일,木曜日
목욕,沐浴、入浴
목욕하다,入浴する
목적,目的
몸,体、身体
몸살,疲労からくる病気
못하다,できない
몽골,モンゴル
무,大根
무겁다,重い
무궁화,むくげ
무료,無料
무릎,ひざ
무리,無理
무섭다,怖い
무슨,何の～、どんな～
무엇,何
무엇이,何が
무역,貿易
무용,舞踊、踊り、ダンス
무척,とても、非常に
문,門、戸、ドア
문구점,文具店
문장,文章
문제,問題
문화,文化
묻다,尋ねる、聞く
물,水
물건,物、物品
물론,もちろん
물어보다,尋ねてみる、聞いてみる、聞く
뭐,何
미국,米国、アメリカ
미래,未来
미리,前もって、あらかじめ
미술,美術
미술관,美術館
미안하다,すまない
미안합니다,すみません
미용실,美容室
미터,メートル
민속촌,民俗村
밀가루,小麦粉
밀리다,滞る
밑,下、底
바꾸다,変える
바뀌다,変わる
바나나,バナナ
바다,海
바닷가,海辺、浜辺
바라다,願う
바람,風
바로,すぐに、まさに
바르다,塗る、つける
바쁘다,忙しい
바이올린,バイオリン
바지,ズボン
박물관,博物館
박수,拍手
밖,外
반,半分、班
반갑다,嬉しい
반갑습니다,お会いできて嬉しいです
반년,半年
반달,半月
반바지,半ズボン
반지,指輪
반찬,おかず
받다,受ける、受け取る
발,足
발가락,足の指
발음,発音
발전,発展
발표,発表
밝다,明るい
밤,夜
밥,ご飯、食事
방,部屋
방법,方法
방송,放送
방송국,放送局
방학,（夏休み、冬休みなど、学校の長期の）休み
배,お腹、船、梨
배고프다,空腹だ
배구,バレーボール
배달,配達、出前
배부르다,お腹いっぱいだ、満腹だ
